
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X             Y             Z           THXY     THYZ     THZX
      468   21558.        149.42       -15.700          0.00     0.00     0.00
      469   21576.        144.55       -15.700          0.00     0.00     0.00
      470   21594.        139.84       -15.700          0.00     0.00     0.00
      471   21612.        135.28       -15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      472   21630.        130.89       -15.700          0.00     0.00     0.00
      473   21648.        126.64       -15.700          0.00     0.00     0.00
      474   21666.        122.56       -15.700          0.00     0.00     0.00
      475   21684.        118.63       -15.700          0.00     0.00     0.00
      476   21702.        114.86       -15.700          0.00     0.00     0.00
      477   21720.        111.25       -15.700          0.00     0.00     0.00
      478   21738.        107.79       -15.700          0.00     0.00     0.00
      479   21756.        104.49       -15.700          0.00     0.00     0.00
      480   21774.        101.35       -15.700          0.00     0.00     0.00
      481   21792.        98.368       -15.700          0.00     0.00     0.00
      482   21810.        95.541       -15.700          0.00     0.00     0.00
      483   21828.        92.870       -15.700          0.00     0.00     0.00
      484   21846.        90.357       -15.700          0.00     0.00     0.00
      485   21864.        88.000       -15.700          0.00     0.00     0.00
      486   21882.        85.801       -15.700          0.00     0.00     0.00
      487   21900.        83.759       -15.700          0.00     0.00     0.00
      488   21918.        81.874       -15.700          0.00     0.00     0.00
      489   21936.        80.146       -15.700          0.00     0.00     0.00
      490   21954.        78.575       -15.700          0.00     0.00     0.00
      491   21972.        77.161       -15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      492   21990.        75.904       -15.700          0.00     0.00     0.00
      493   22008.        74.805       -15.700          0.00     0.00     0.00
      494   22026.        73.862       -15.700          0.00     0.00     0.00
      495   22044.        73.077       -15.700          0.00     0.00     0.00
      496   22062.        72.448       -15.700          0.00     0.00     0.00
      497   22080.        71.977       -15.700          0.00     0.00     0.00
      498   22098.        71.663       -15.700          0.00     0.00     0.00
      499   22116.        71.506       -15.700          0.00     0.00     0.00
      500   22134.        71.506       -15.700          0.00     0.00     0.00
      501   22152.        71.663       -15.700          0.00     0.00     0.00
      502   22170.        71.977       -15.700          0.00     0.00     0.00
